Feature,Importance
categorical__City_Niagara Falls,1.2153969710208209e-06
categorical__City_Rio Rancho,1.1979472843020367e-06
categorical__City_Ontario,1.196495767142121e-06
categorical__City_Laurel,1.1903482612000814e-06
categorical__City_Malden,1.1693891605577316e-06
categorical__City_Bedford,1.1234444750706862e-06
categorical__City_Bayonne,1.1233566926012874e-06
categorical__City_Edinburg,1.0687985202681897e-06
categorical__City_Coppell,1.0423081743722428e-06
categorical__City_Lake Forest,1.0341492694194546e-06
categorical__City_Jamestown,9.008387715929788e-07
categorical__City_Avondale,8.948504549693538e-07
categorical__City_Logan,8.936080165179276e-07
categorical__City_San Mateo,8.713907027413281e-07
categorical__City_Hickory,8.476769433298342e-07
categorical__City_Beaumont,7.993626430829883e-07
categorical__City_Corpus Christi,7.95403024461119e-07
categorical__City_Grove City,7.679042261929297e-07
categorical__City_San Clemente,7.56581934060893e-07
categorical__City_Holyoke,7.078300012876621e-07
categorical__City_Mesquite,6.973092359194719e-07
categorical__City_Woonsocket,6.96762081120804e-07
categorical__City_Yuma,6.962831061171086e-07
categorical__City_York,6.882806060508043e-07
categorical__City_Manhattan,6.784813878319266e-07
categorical__City_Boca Raton,6.684344959159118e-07
categorical__City_Hamilton,6.642559466035389e-07
categorical__City_Maple Grove,6.526721269752872e-07
categorical__City_Coachella,6.473717008324508e-07
categorical__City_Encinitas,6.359242481223014e-07
categorical__City_Elkhart,6.059765638357523e-07
categorical__City_Farmington,5.947696698904189e-07
categorical__City_Salinas,5.773808508277265e-07
categorical__City_San Marcos,5.421356064913087e-07
categorical__City_Gulfport,5.408528922847931e-07
categorical__City_Conroe,5.38114271188239e-07
categorical__City_Carlsbad,5.034202585945462e-07
categorical__City_Norman,4.782433337361956e-07
categorical__City_College Station,3.987266089014531e-07
categorical__City_Escondido,3.9242416551899073e-07
categorical__City_Rapid City,3.920903748676396e-07
categorical__City_New Bedford,3.903791295405915e-07
categorical__City_Saint Paul,3.6791293905824425e-07
categorical__City_Melbourne,3.512239579233477e-07
categorical__City_Yucaipa,3.4630929346034156e-07
categorical__City_La Quinta,3.372204831150225e-07
categorical__City_Delray Beach,3.254500396524829e-07
categorical__City_Homestead,3.1413552563241375e-07
categorical__City_Eagan,3.108239297460225e-07
categorical__City_Jefferson City,3.0937499323841693e-07
categorical__City_Bartlett,2.7746498709459895e-07
categorical__City_Leominster,2.693812684070263e-07
categorical__City_Sierra Vista,2.455151321815225e-07
categorical__City_Lindenhurst,2.446900841797722e-07
categorical__City_East Orange,2.3621028694146338e-07
categorical__City_Marlborough,2.312519456845922e-07
categorical__City_Rochester Hills,2.215121914277516e-07
categorical__City_Frisco,2.1676022213390585e-07
categorical__City_Garden City,2.1121666966930852e-07
categorical__City_Linden,2.1026861569942514e-07
categorical__City_Murfreesboro,1.995276421943129e-07
categorical__City_Lewiston,1.9393209248950435e-07
categorical__City_Palatine,1.8918835427143046e-07
categorical__City_Orange,1.81449681882993e-07
categorical__City_Kenner,1.6699238909081127e-07
categorical__City_Hillsboro,1.6496442378034903e-07
categorical__City_Royal Oak,1.6405894341993128e-07
categorical__City_Charlottesville,1.6391044609796833e-07
categorical__City_Santa Fe,1.4126979170085248e-07
categorical__City_Medford,1.3654474998835994e-07
categorical__City_Shelton,1.296739432566585e-07
categorical__City_Nashua,1.241488069972345e-07
categorical__City_Hagerstown,1.0986691344221614e-07
categorical__City_Frankfort,1.0540800433146289e-07
categorical__City_Garland,1.043208339381787e-07
categorical__City_Redwood City,1.0269643411568374e-07
categorical__City_Grapevine,1.0024481083721574e-07
categorical__City_Bullhead City,9.924882414217935e-08
categorical__City_Reading,9.786330384048157e-08
categorical__City_Las Cruces,9.15113367452764e-08
categorical__City_Waterloo,8.415177471600627e-08
categorical__City_Cuyahoga Falls,7.788518187159713e-08
categorical__City_Mansfield,6.037151251421439e-08
categorical__City_Bryan,5.098385443404127e-08
categorical__City_Danbury,4.239958949388225e-08
categorical__City_Bellevue,4.1804861383751554e-08
categorical__City_Urbandale,3.880564496179195e-08
categorical__City_Loveland,3.521100279312258e-08
categorical__City_Antioch,3.109728333763068e-08
categorical__City_Twin Falls,3.1071581225384215e-08
categorical__City_Greeley,2.5748582373063936e-08
categorical__City_Sterling Heights,2.392794383344698e-08
categorical__City_Thomasville,1.672243442032074e-08
categorical__City_Bridgeton,1.629092924042138e-08
categorical__City_Deer Park,1.626378025090361e-08
categorical__City_Jupiter,1.4570501536033902e-08
categorical__City_Baytown,1.3906476639617513e-08
categorical__City_Longview,1.3559763580161806e-08
categorical__City_Tinley Park,1.2554961526243994e-08
categorical__City_Port Orange,1.2212614619953492e-08
categorical__City_Atlantic City,1.1779716455410307e-08
categorical__City_Aberdeen,1.0788416083971963e-08
categorical__City_Altoona,9.515567505446486e-09
categorical__City_Oswego,8.189814884944163e-09
categorical__City_Pensacola,6.496380324324921e-09
categorical__City_Keller,6.196884486141294e-09
categorical__City_Portage,6.107139914349232e-09
categorical__City_Reno,5.771291727271728e-09
categorical__City_Ormond Beach,5.595210101630436e-09
categorical__City_North Miami,5.163850445496056e-09
categorical__City_Chapel Hill,5.08399669933029e-09
categorical__City_San Luis Obispo,4.831040038741687e-09
categorical__City_Owensboro,4.366337336923003e-09
categorical__City_Iowa City,3.622436158122087e-09
categorical__City_Clovis,3.397030927788605e-09
categorical__City_Bozeman,2.9759985500963856e-09
categorical__City_Arlington Heights,2.5640414326225006e-09
categorical__City_Grand Island,1.7119246215397412e-09
categorical__City_Missouri City,1.1637162027055616e-09
categorical__City_Layton,1.0431857941844293e-09
categorical__City_Rock Hill,5.011509439429021e-10
categorical__City_New Brunswick,1.9510432330563121e-10
categorical__Country_United States,0.0
